Age,Gender,Employment_Status,Sleep_Hours,Sleep_Quality,Screen_Time_Hours,Physical_Activity_Hours,Social_Interaction_Score,Diet_Quality,Caffeine_Intake_Cups,Work_Study_Hours,Academic_Work_Pressure,Financial_Stress,Family_Support_Score,Stress_Level,Mental_Health_Score
45,Female,Employed,4.0,7.4,4.3,2.8,4.0,3.3,1,3.5,6.2,4.7,9.4,9.7,34.0
43,Female,Student,5.2,6.0,8.0,0.6,2.8,4.4,2,4.2,8.9,6.5,4.9,4.9,26.7
46,Female,Employed,4.4,5.5,7.8,1.7,4.4,3.0,5,10.0,2.2,4.4,2.0,4.1,37.6
41,Female,Student,6.7,7.3,7.2,7.1,6.3,2.9,2,9.8,5.0,7.4,8.2,10.0,52.1
57,Male,Employed,7.2,6.6,8.6,1.2,3.0,5.1,2,8.8,6.0,6.9,4.3,5.9,35.4
39,Male,Employed,7.2,6.2,7.2,6.2,8.3,3.9,3,6.3,8.2,5.3,5.8,4.5,54.7
27,Male,Employed,7.2,6.9,3.5,5.2,3.9,4.0,1,4.6,9.0,8.3,6.9,5.9,48.7
58,Other,Employed,6.5,9.4,4.6,0.1,7.8,7.4,2,10.9,7.2,6.0,,3.6,73.7
46,Female,Employed,9.3,6.4,3.9,3.0,6.1,4.9,4,7.7,6.2,2.6,6.6,3.5,69.1
51,Male,Student,7.7,5.4,5.1,1.8,6.3,6.0,1,8.1,4.8,5.2,7.2,3.9,58.9
31,Male,Student,8.6,9.4,2.3,1.1,2.7,6.0,2,5.8,8.6,3.4,5.3,5.7,65.2
43,Male,Student,5.7,6.1,4.1,0.6,7.1,8.3,2,9.2,5.5,8.6,8.6,7.4,47.2
54,Female,Student,4.6,10.0,2.9,0.2,6.6,6.6,0,11.4,5.3,4.7,8.1,5.5,83.7
22,Female,Employed,2.8,7.2,3.2,2.2,7.3,1.5,1,7.3,6.5,7.5,4.8,5.6,53.9
51,Male,Student,7.4,7.2,2.7,5.5,5.6,3.9,2,13.3,6.3,5.6,4.3,5.1,71.2
18,Female,Employed,4.3,5.6,5.2,1.5,6.6,4.5,3,8.6,10.0,1.0,9.8,4.1,70.1
39,Male,Employed,7.9,6.1,3.2,3.1,4.4,8.4,2,8.6,1.0,4.2,6.3,8.9,63.2
52,Female,Student,7.3,5.4,3.9,7.9,3.9,4.2,2,8.5,7.1,7.2,6.9,5.4,46.7
55,Male,Employed,4.0,8.8,7.0,10.5,7.3,5.7,2,12.7,7.1,2.4,,5.9,68.3
39,Other,Student,8.2,5.7,5.9,1.6,6.9,3.4,1,9.1,8.3,4.6,4.1,3.5,45.9
46,Female,Student,4.9,6.7,5.5,0.3,8.0,4.1,3,8.1,2.2,6.7,4.1,8.8,45.6
44,Female,Employed,5.5,7.5,8.6,0.9,7.0,6.2,3,2.8,6.6,6.0,7.2,7.0,54.9
34,Male,Student,6.8,7.1,4.0,1.9,6.0,5.6,3,10.9,10.0,6.3,8.5,10.0,44.3
25,Male,Employed,7.5,6.1,6.7,8.0,6.2,5.8,0,10.1,6.6,5.5,7.0,5.7,57.0
33,Female,Student,7.3,7.8,6.9,4.4,6.2,4.5,0,10.4,8.0,5.5,4.0,5.3,62.9
25,Female,Employed,5.3,8.5,7.3,1.9,6.4,1.9,3,11.6,9.1,3.0,3.6,5.7,56.5
21,Male,Employed,6.9,2.0,4.0,0.6,4.4,6.6,4,6.5,4.2,8.4,8.7,4.7,49.3
23,Female,Employed,5.9,5.6,3.3,0.5,5.4,7.1,1,11.7,4.6,1.0,8.2,6.7,59.0
46,Male,Employed,4.3,6.3,7.3,2.0,1.6,8.5,1,9.3,9.6,5.0,9.8,5.8,49.3
27,Male,Student,7.4,6.8,7.4,6.6,8.8,5.1,2,11.5,6.9,6.0,10.0,4.7,76.6
54,Male,Student,8.0,6.1,7.5,10.4,6.7,9.8,2,8.4,4.2,3.0,10.0,10.0,67.9
19,Male,Student,4.3,4.6,3.0,2.1,6.6,8.1,2,3.1,3.9,2.7,7.1,7.9,59.8
34,Male,Employed,7.4,6.4,7.2,3.7,7.3,1.2,2,5.4,5.4,5.9,8.5,7.1,50.8
58,Female,Student,6.9,4.7,6.6,6.1,4.4,4.6,2,8.1,7.0,5.1,10.0,8.3,47.9
33,Female,Student,6.4,6.5,5.6,1.2,5.9,4.5,3,8.1,4.7,4.7,2.1,7.4,38.7
32,Female,Employed,3.9,6.0,7.1,8.0,6.2,3.7,7,6.7,7.7,6.5,4.6,5.3,51.3
42,Female,Student,5.2,9.3,3.3,3.4,6.3,4.6,4,4.6,7.5,1.2,6.8,7.9,52.3
48,Female,Student,5.8,8.4,1.6,3.7,5.7,3.1,5,3.1,3.4,8.9,,3.1,72.3
25,Female,Student,7.1,7.2,0.4,3.4,6.0,6.0,0,5.4,4.6,2.1,3.4,5.2,75.6
26,Male,Unemployed,6.8,4.3,7.3,5.5,4.5,10.0,0,0.4,3.7,3.6,5.6,2.9,59.1
27,Male,Student,4.2,6.6,5.7,2.5,7.6,6.7,3,4.7,6.8,6.7,10.0,7.2,56.6
54,Male,Employed,7.9,4.7,1.8,8.9,4.3,5.4,1,5.8,8.2,3.8,10.0,4.0,71.4
56,Female,Student,3.9,5.8,2.6,1.1,6.5,8.1,3,5.2,8.7,7.6,7.4,5.6,53.7
25,Female,Employed,8.6,8.7,1.4,0.5,5.0,4.2,4,7.9,4.5,6.8,5.3,5.5,52.6
29,Male,Unemployed,7.8,5.2,3.9,0.1,2.9,7.2,3,1.9,7.4,6.3,4.2,3.8,42.0
55,Male,Employed,7.2,5.7,3.7,6.3,6.2,3.1,5,6.7,4.4,5.8,7.6,4.7,66.9
32,Female,Student,8.6,4.8,8.0,2.1,6.8,5.6,1,7.1,6.5,7.2,10.0,2.8,60.8
54,Female,Employed,6.3,7.3,2.9,,2.9,4.4,0,8.1,10.0,7.7,5.1,6.0,38.8
59,Female,Employed,6.6,9.2,5.9,6.4,0.1,7.5,0,6.4,5.9,6.4,4.8,7.2,54.6
49,Male,Student,5.6,7.0,7.4,2.2,10.0,3.3,2,6.6,9.7,8.5,6.4,5.0,46.9
28,Other,Unemployed,5.3,3.4,4.3,0.3,3.9,8.1,1,2.0,7.1,4.8,6.6,6.6,33.4
49,Male,Employed,6.7,1.0,11.3,0.7,3.3,5.3,2,6.6,7.7,5.1,8.9,9.6,18.4
40,Other,Employed,7.1,9.1,4.9,0.9,5.6,7.0,0,8.8,8.5,8.5,6.5,6.1,48.6
29,Male,Student,5.7,9.5,4.8,3.7,4.6,,2,3.8,5.4,4.0,8.5,6.1,69.4
41,Male,Student,7.3,3.6,3.0,2.2,8.3,3.8,1,6.1,7.9,6.4,7.3,4.5,46.1
41,Male,Student,8.9,8.0,4.9,4.6,3.0,5.7,2,7.6,5.7,7.3,4.5,5.8,67.4
24,Male,Employed,4.3,1.6,6.1,1.6,1.2,8.5,3,3.1,9.5,9.8,5.4,7.2,6.9
23,Male,Student,5.2,7.8,3.4,1.3,4.4,4.1,4,8.9,6.3,7.0,6.7,5.4,58.4
29,Female,Employed,5.0,3.9,8.0,1.6,4.3,3.6,1,5.4,1.0,7.4,7.0,3.0,37.9
21,Male,Employed,2.6,2.8,3.3,3.0,10.0,3.3,2,7.0,6.3,4.6,5.7,9.0,35.7
50,Female,Employed,6.6,4.6,6.8,2.6,6.6,4.8,2,6.1,6.0,7.9,6.8,10.0,47.1
39,Female,Student,4.9,6.3,1.0,2.4,6.4,5.7,1,9.8,4.6,6.6,9.4,5.6,54.4
21,Female,Student,6.4,2.8,5.3,0.1,7.3,8.1,3,12.1,6.3,3.0,5.7,2.3,52.4
58,Male,Student,7.3,9.1,1.4,11.1,2.7,4.4,2,4.0,5.2,4.5,4.5,5.6,65.8
38,Male,Employed,6.5,8.2,4.9,0.2,5.8,6.2,3,3.5,4.5,6.9,8.2,3.5,61.0
22,Female,Student,6.6,8.1,4.3,3.6,5.0,4.1,0,7.2,3.4,6.6,5.2,6.3,64.6
38,Female,Employed,5.9,5.8,6.8,2.2,2.7,6.6,2,7.7,6.0,5.0,5.5,8.1,50.1
43,Male,Student,5.2,,7.5,0.6,5.8,5.5,1,9.2,7.3,8.5,4.9,7.2,44.3
52,Female,Student,8.2,2.6,7.4,0.5,10.0,6.1,1,7.2,4.1,2.5,5.8,6.2,61.0
39,Male,Employed,6.5,8.8,5.3,2.8,7.3,6.6,2,8.1,1.0,4.7,6.3,7.9,60.6
50,Female,Employed,6.4,7.5,8.1,0.4,3.7,5.9,1,10.2,2.1,4.9,8.5,7.0,53.5
18,Male,Student,7.1,5.5,6.2,7.5,5.3,7.2,4,10.4,4.9,9.1,5.6,4.3,59.5
54,Female,Student,7.4,,2.9,2.0,7.7,,3,6.6,5.9,8.0,7.0,6.1,54.7
56,Male,Employed,3.6,7.7,5.9,0.3,4.7,5.7,2,12.1,5.0,8.0,9.0,4.0,49.8
28,Male,Student,5.8,7.1,4.0,3.6,7.7,3.5,4,8.4,2.8,7.0,7.3,6.2,53.7
50,Female,Employed,7.5,4.1,7.5,2.0,6.9,8.1,1,12.9,5.7,5.0,7.2,6.0,58.7
34,Female,Student,9.1,2.9,7.3,0.1,7.8,7.0,1,4.0,4.1,3.5,4.1,4.5,61.6
26,Male,Employed,4.1,5.9,5.8,2.1,1.9,3.5,4,8.2,4.3,9.4,2.2,6.2,35.8
43,Male,Employed,7.2,9.6,3.4,3.2,4.7,6.3,1,9.7,5.6,2.7,7.8,5.6,77.1
19,Male,Employed,5.5,6.0,1.2,5.3,8.8,3.5,3,8.5,5.4,7.2,7.6,5.9,53.6
59,Male,Student,6.9,3.8,0.6,0.4,3.0,6.8,0,7.4,7.0,8.0,3.9,4.4,36.4
21,Male,Employed,7.0,5.2,9.7,0.2,4.0,5.2,4,6.4,4.8,2.4,3.3,4.7,43.5
57,Female,Employed,4.0,6.1,5.4,0.6,6.8,6.5,2,3.1,2.3,3.1,7.5,3.6,67.1
43,Female,Unemployed,5.1,4.4,3.8,0.4,7.3,8.3,5,2.7,5.6,4.3,5.9,7.3,56.2
24,Female,Student,8.4,7.1,5.6,1.2,5.7,6.1,4,8.4,6.0,4.9,4.4,5.4,53.3
47,Female,Employed,6.2,3.7,4.0,0.2,8.6,6.2,1,9.8,6.5,7.3,3.4,4.8,42.1
53,Male,Student,6.3,6.8,1.0,0.0,4.1,7.4,1,3.7,9.2,5.8,4.8,6.5,59.0
29,Female,Student,7.8,10.0,6.9,4.8,8.7,5.6,4,5.6,8.1,7.2,2.4,5.6,81.4
22,Male,Employed,6.1,3.4,6.2,8.7,0.5,5.6,2,7.5,7.6,3.7,5.6,8.0,46.5
43,Male,Employed,5.6,5.2,2.9,3.5,3.5,4.2,3,7.1,7.5,9.5,5.8,5.3,30.0
32,Female,Employed,4.1,7.1,6.3,0.3,7.9,5.2,2,7.6,3.8,6.7,5.0,8.6,47.7
42,Female,Unemployed,8.7,9.9,27.92881993536481,1.9,8.8,6.1,3,2.9,4.0,2.1,8.8,6.5,89.5
54,Female,Student,6.0,6.6,0.0,5.3,3.9,7.6,1,11.3,7.1,5.3,10.0,7.1,58.2
43,Female,Employed,6.9,2.2,3.6,6.8,8.2,5.3,2,10.5,4.2,5.0,8.5,4.9,65.0
18,Female,Employed,4.7,5.9,3.8,0.6,3.6,3.9,1,5.9,10.0,2.6,6.3,5.5,39.3
43,Male,Employed,6.5,6.2,6.7,0.9,5.4,8.4,1,7.7,7.8,4.2,9.3,2.3,57.2
31,Female,Employed,5.4,9.0,6.5,2.7,7.2,6.9,3,4.4,4.3,4.9,8.2,6.9,70.2
59,Male,Employed,7.3,8.8,7.2,0.3,6.4,7.3,2,7.4,6.2,7.1,7.4,8.1,62.2
19,Male,Employed,5.3,6.1,6.8,0.4,6.0,3.7,4,4.6,6.9,6.9,6.3,3.4,69.9
47,Female,Employed,7.5,5.8,9.2,1.6,5.2,8.4,1,5.0,7.9,2.3,5.1,7.5,47.2
30,Male,Employed,5.7,3.8,5.3,2.3,7.8,2.8,3,7.9,5.5,2.5,8.3,6.8,50.0
49,Female,Student,5.9,5.8,9.6,1.6,8.2,4.6,1,9.4,5.9,2.7,6.8,10.0,51.5
55,Female,Employed,4.6,2.1,4.6,0.3,6.2,9.3,1,6.0,6.5,5.7,8.0,6.3,36.8
59,Male,Employed,5.5,7.7,1.2,3.8,2.8,6.3,4,4.1,9.0,8.1,9.0,8.5,45.2
22,Male,Student,4.7,5.0,7.8,0.8,3.3,9.6,6,3.6,4.3,2.8,10.0,7.0,51.2
56,Female,Student,5.7,5.0,8.7,1.3,3.6,3.7,1,9.0,8.7,5.6,8.5,7.2,50.6
56,Female,Student,5.4,6.1,5.6,6.5,2.1,5.3,2,8.2,5.8,4.0,10.0,5.8,61.6
45,Male,Student,6.3,5.2,11.0,0.5,4.1,7.3,3,8.1,5.3,7.7,3.9,3.4,53.2
28,Female,Student,5.9,6.8,6.3,4.7,2.1,4.1,2,7.5,6.5,2.1,3.8,7.2,57.0
25,Male,Student,5.3,7.3,8.1,1.5,5.7,6.7,2,7.8,6.3,4.3,6.5,4.9,55.2
52,Male,Student,5.0,7.9,0.4,0.7,1.9,7.2,4,2.9,6.1,5.6,5.8,6.9,53.2
37,Male,Unemployed,7.4,6.3,1.9,4.3,4.0,6.4,2,0.5,10.0,2.6,8.6,6.4,69.8
24,Female,Employed,6.1,4.5,10.8,4.1,5.8,,4,9.1,5.5,7.4,5.6,5.3,27.4
58,Male,Student,6.9,4.7,5.6,1.2,6.8,3.4,5,6.3,9.5,4.6,10.0,7.6,51.1
38,Male,Employed,4.3,6.9,4.1,14.0,7.1,5.4,1,8.7,6.9,6.1,6.9,6.5,58.3
31,Male,Employed,8.0,,2.8,2.3,6.5,8.2,2,7.5,5.2,4.3,9.1,1.5,77.5
23,Male,Unemployed,6.3,,3.5,1.0,4.5,4.8,1,0.5,6.7,7.7,8.9,3.3,60.0
18,Other,Employed,5.6,5.5,4.0,3.9,1.9,4.7,2,7.6,4.3,4.3,6.6,5.2,45.8
32,Female,Student,6.8,2.5,5.3,4.5,5.0,3.0,4,7.1,5.1,7.9,9.5,6.2,31.7
55,Male,Employed,5.7,7.5,8.1,2.2,6.5,6.1,2,5.4,3.9,6.3,10.0,5.2,63.9
28,Other,Employed,9.5,5.0,7.2,0.2,1.3,,2,11.3,6.2,5.4,9.3,6.5,49.5
22,Female,Student,7.5,6.4,10.1,8.9,3.9,5.1,2,8.0,5.3,2.1,9.0,6.6,60.4
51,Female,Employed,7.0,6.7,6.5,3.0,4.7,8.1,1,7.1,6.5,6.2,7.0,9.3,46.8
33,Female,Employed,7.2,7.4,4.5,3.4,4.4,4.6,0,6.6,5.0,1.9,8.7,7.4,56.7
26,Female,Employed,5.1,3.6,6.0,0.6,5.9,8.1,1,4.8,7.0,10.0,6.0,3.2,34.2
18,Male,Employed,6.5,6.6,5.9,0.4,8.9,7.4,1,4.8,4.9,3.5,6.7,7.2,64.2
37,Male,Student,7.5,9.3,2.7,4.3,0.0,5.4,0,8.6,8.3,6.8,5.8,5.4,47.6
33,Male,Employed,7.0,2.3,6.8,0.1,10.0,5.9,1,5.9,5.5,2.1,5.9,3.8,55.3
27,Male,Student,5.0,3.9,7.9,0.2,7.4,5.5,3,6.1,5.3,9.1,5.1,1.4,31.0
53,Male,Employed,6.7,2.7,9.3,2.9,3.6,4.2,0,11.7,5.7,9.0,6.8,3.9,42.7
36,Female,Student,4.9,5.9,3.1,0.3,3.3,4.0,2,8.1,8.3,3.4,5.5,3.0,53.7
54,Female,Student,5.1,5.9,3.6,0.9,5.8,9.1,2,7.8,3.9,7.7,8.4,5.9,49.8
28,Male,Student,4.7,9.0,5.9,0.7,6.7,7.7,3,8.0,5.7,3.2,7.0,2.9,73.1
30,Male,Student,7.4,7.7,4.9,4.0,4.5,6.9,1,5.6,3.2,1.0,10.0,1.0,78.7
37,Female,Student,4.7,5.1,7.0,1.5,5.4,4.0,4,6.0,8.1,4.4,4.6,3.9,39.8
43,Male,Employed,4.5,3.2,7.2,7.5,3.1,5.2,4,8.3,6.5,5.7,7.5,4.2,43.8
28,Other,Employed,5.6,5.5,7.7,2.8,7.4,2.9,4,8.2,4.4,7.1,8.7,4.5,66.3
56,Male,Student,7.6,6.3,7.0,2.0,4.2,4.6,1,2.9,5.3,5.3,8.3,1.0,76.3
59,Male,Employed,4.7,10.0,6.3,1.7,4.5,8.4,3,7.8,6.2,1.6,5.0,3.9,69.9
46,Female,Employed,8.0,7.8,5.8,2.3,4.3,6.4,3,6.3,8.4,6.3,10.0,4.0,66.7
28,Male,Employed,10.8,6.2,4.2,0.6,4.5,5.5,2,3.5,2.9,8.3,4.4,4.3,61.0
22,Female,Student,5.1,8.4,5.6,0.0,7.6,5.7,7,10.3,6.6,7.1,,5.9,48.9
41,Female,Student,8.3,5.1,7.5,0.2,7.6,7.4,4,8.3,2.5,3.7,6.1,3.1,75.2
52,Male,Student,9.6,3.4,5.3,3.1,7.2,3.8,3,10.4,5.9,9.2,10.0,2.5,49.0
40,Male,Student,6.9,5.7,5.7,1.2,5.6,8.8,3,10.6,5.4,5.1,4.6,4.4,66.7
19,Other,Employed,7.1,4.1,5.3,0.2,7.8,4.0,0,8.0,5.5,6.9,6.6,5.4,39.4
54,Female,Employed,5.2,4.9,7.0,0.0,2.9,7.5,1,9.2,4.2,6.9,3.9,3.7,43.3
58,Female,Employed,5.5,5.8,4.7,4.4,10.0,4.2,4,7.1,8.1,8.7,5.4,9.9,35.8
22,Female,Unemployed,6.9,4.6,6.0,0.8,5.3,7.1,1,1.5,5.9,7.0,7.9,5.8,51.7
18,Female,Employed,3.5,8.4,8.5,4.0,5.6,4.9,1,4.3,4.9,4.5,10.0,5.8,52.5
45,Male,Employed,10.7,6.1,5.7,0.1,3.4,6.4,3,4.4,4.7,9.1,6.3,2.3,62.8
42,Female,Employed,6.0,4.5,6.7,10.3,5.1,6.1,1,10.9,3.4,7.4,4.2,5.4,48.9
29,Female,Student,7.1,,7.8,2.9,4.1,5.0,4,7.3,8.6,7.5,3.4,5.4,40.7
47,Female,Employed,6.8,6.4,2.2,1.3,7.2,6.5,3,2.0,5.5,8.6,8.9,5.2,54.6
45,Male,Student,7.1,8.2,6.9,2.0,6.7,7.7,3,8.6,3.3,8.1,6.9,7.9,62.6
51,Female,Student,6.7,7.2,6.2,5.2,5.0,5.0,0,8.9,6.4,2.4,9.6,5.9,79.1
45,Other,Student,5.9,8.3,4.9,0.6,7.4,3.5,5,9.0,4.9,4.5,,2.3,71.8
22,Female,Unemployed,7.1,7.0,6.0,1.4,4.5,,0,2.5,6.1,8.1,10.0,9.0,46.7
49,Female,Unemployed,5.5,7.4,4.0,0.7,4.5,7.8,4,1.4,9.5,4.8,4.4,1.0,59.7
31,Male,Unemployed,6.9,5.3,5.8,2.5,4.9,6.7,3,1.2,7.9,5.5,7.1,1.0,58.9
32,Female,Unemployed,6.7,,4.8,6.3,5.5,4.7,1,2.0,6.3,3.8,7.0,4.3,60.8
23,Male,Unemployed,7.6,5.8,5.4,1.9,5.8,6.1,2,0.7,5.5,7.5,8.8,4.7,53.7
43,Male,Student,5.0,4.8,4.5,3.5,8.3,7.8,7,11.0,4.2,4.8,6.2,4.8,59.4
40,Female,Employed,7.8,5.2,3.3,0.7,3.8,6.7,3,7.4,6.4,5.5,6.1,7.2,44.5
25,Male,Employed,2.3,4.8,5.2,8.4,6.4,5.8,2,6.2,7.0,6.6,,1.3,56.4
45,Male,Employed,3.1,7.2,11.4,8.4,3.6,4.4,3,10.5,5.9,4.4,6.6,5.5,56.2
42,Male,Student,6.5,7.6,6.3,1.7,2.7,8.0,1,7.2,4.7,3.5,8.5,1.0,76.1
53,Female,Student,5.9,4.4,8.4,0.0,3.8,2.6,1,3.6,5.3,6.4,5.8,8.0,28.0
59,Male,Student,7.3,6.0,4.1,2.7,6.8,5.5,0,6.5,8.2,5.8,8.6,2.5,75.4
23,Male,Student,5.2,3.0,3.9,3.9,5.6,7.0,2,8.0,7.2,4.0,7.8,9.4,29.3
45,Female,Employed,5.1,4.8,6.3,5.6,10.0,10.0,0,3.9,9.2,6.8,2.2,7.1,55.8
28,Male,Unemployed,4.8,6.9,2.5,3.0,6.4,3.6,3,0.2,4.3,9.3,2.4,5.6,35.6
37,Female,Employed,8.5,8.6,2.9,3.7,3.4,10.0,1,8.0,6.6,3.2,7.7,10.0,59.3
53,Female,Employed,6.1,8.1,6.0,2.0,3.3,4.4,4,10.7,4.0,9.1,4.6,5.4,42.5
56,Female,Employed,5.4,,10.9,1.7,4.6,6.7,4,8.8,6.9,6.7,8.1,5.8,45.0
45,Male,Unemployed,6.1,4.3,4.3,5.4,3.4,7.3,1,0.0,7.7,7.5,5.8,5.0,50.9
58,Other,Unemployed,8.3,8.2,4.4,1.2,5.0,5.7,4,1.8,4.5,1.1,3.9,4.5,68.0
49,Female,Employed,8.4,5.9,0.0,2.9,7.5,3.0,0,8.5,10.0,10.0,5.0,4.7,51.7
26,Other,Unemployed,6.5,5.6,5.1,1.0,10.0,5.2,1,1.9,6.2,4.8,8.6,2.1,75.3
39,Male,Student,7.5,5.9,6.5,6.2,4.5,3.9,1,4.3,4.5,5.8,1.9,1.2,67.4
50,Male,Student,6.1,8.2,4.7,1.3,5.7,5.1,1,9.1,7.2,3.9,8.1,3.5,52.0
27,Female,Student,6.1,1.7,8.1,0.6,5.6,3.5,4,7.0,9.8,5.9,4.1,7.3,22.2
47,Male,Student,6.1,4.0,6.4,3.7,5.2,3.1,1,6.1,4.4,5.2,10.0,8.5,51.6
53,Female,Unemployed,7.4,6.3,4.1,1.5,7.1,6.1,1,1.2,7.6,5.5,10.0,2.7,77.2
54,Female,Employed,5.1,8.1,6.8,0.5,9.5,6.3,2,6.1,4.2,3.8,3.1,6.3,57.8
48,Male,Student,6.1,9.2,3.7,0.5,4.5,9.6,2,5.6,6.7,7.9,6.4,5.8,66.9
19,Female,Employed,6.1,8.8,7.9,1.6,3.2,2.5,2,8.4,8.7,5.3,8.2,4.1,55.0
47,Male,Student,6.9,7.6,8.0,2.0,4.2,3.8,1,6.8,7.3,5.4,7.4,7.3,54.0
23,Male,Student,6.8,3.2,0.2,2.0,4.1,3.3,1,11.7,8.7,2.8,4.7,2.0,48.0
54,Other,Student,4.6,,8.1,5.5,7.3,4.0,3,9.9,7.0,7.0,8.3,6.7,54.0
50,Male,Student,4.6,5.7,7.3,0.5,5.3,6.9,0,10.3,7.2,2.1,7.6,2.5,58.2
30,Female,Employed,8.4,6.0,9.0,0.2,4.0,10.0,2,6.3,7.3,8.8,10.0,3.1,64.2
41,Female,Student,7.5,10.0,3.4,3.9,5.7,3.4,1,7.7,8.3,7.7,10.0,4.3,70.8
48,Female,Employed,7.1,4.2,6.4,0.5,4.4,3.7,3,8.1,5.7,3.2,8.2,2.9,45.1
38,Female,Student,5.0,7.2,3.4,0.4,1.2,6.8,5,6.1,5.4,3.7,6.9,5.7,52.1
50,Female,Employed,6.2,5.4,4.8,1.1,4.3,2.8,4,7.3,6.2,5.3,5.3,4.3,43.9
36,Female,Employed,5.6,7.8,7.2,0.6,5.9,3.0,1,7.8,7.4,4.5,10.0,7.6,60.7
44,Female,Student,5.4,3.5,8.0,0.0,2.0,5.7,0,5.6,3.6,5.9,4.3,6.8,20.6
36,Female,Employed,6.9,7.4,3.8,2.9,6.0,,5,10.5,7.1,9.5,6.9,7.0,49.3
50,Female,Student,6.9,10.0,0.0,0.6,10.0,4.6,2,6.2,4.7,8.0,5.3,7.2,68.9
34,Female,Unemployed,6.4,8.9,2.6,1.4,2.3,6.4,2,0.0,4.9,4.8,9.0,7.8,47.0
39,Female,Student,7.4,5.4,1.9,0.9,4.4,5.4,4,8.7,4.8,9.8,6.6,4.0,51.7
37,Male,Unemployed,5.1,4.0,6.3,3.3,6.7,6.5,2,0.3,8.6,9.9,8.2,6.3,36.5
30,Female,Employed,5.6,9.2,6.7,1.1,8.7,3.6,2,7.4,3.3,7.4,7.6,3.1,71.5
23,Male,Employed,7.0,9.9,5.9,0.7,6.2,5.1,2,8.1,7.7,5.4,8.5,6.7,66.1
59,Female,Employed,9.1,7.0,8.3,0.4,1.6,4.6,1,4.7,5.9,5.3,3.3,10.0,31.6
56,Female,Employed,6.5,4.3,3.9,0.4,2.5,5.0,3,3.9,4.2,8.3,5.3,2.3,50.0
41,Female,Employed,3.4,6.2,2.7,4.1,6.4,6.5,2,7.6,4.0,7.4,4.6,2.9,64.7
58,Male,Employed,6.0,9.6,5.3,0.2,7.7,6.3,2,9.1,1.7,6.4,7.0,2.6,80.8
39,Female,Student,6.6,3.9,4.9,4.5,9.0,5.4,7,7.2,2.8,8.1,8.2,4.9,53.2
49,Male,Student,6.6,1.4,8.7,0.4,4.6,7.7,1,5.5,8.7,6.2,7.3,1.0,49.4
43,Female,Student,5.8,4.4,4.5,1.0,4.6,8.0,3,8.0,6.0,5.7,7.1,6.5,46.5
